Symbol,name,value,variable
gene22,sample2,6,A
gene22,sample3,2,A
gene22,sample4,4,A
gene22,sample5,8,A
gene22,sample6,2,B
gene22,sample7,15,B
gene22,sample8,5,B
gene22,sample9,2,B
gene22,sample10,6,B
gene23,sample1,4,A
gene23,sample2,0,A
gene23,sample3,2,A
gene23,sample4,9,A
gene23,sample5,25,A
gene23,sample6,2,B
gene23,sample7,11,B
gene23,sample8,2,B
gene23,sample9,3,B
gene23,sample10,8,B
gene24,sample1,72,A
gene24,sample2,64,A
gene24,sample3,165,A
gene24,sample4,73,A
gene24,sample5,179,A
gene24,sample6,189,B
gene24,sample7,125,B
gene24,sample8,134,B
gene24,sample9,102,B
gene24,sample10,144,B
gene25,sample1,26,A
gene25,sample2,44,A
gene25,sample3,32,A
gene25,sample4,60,A
gene25,sample5,42,A
gene25,sample6,125,B
gene25,sample7,67,B
gene25,sample8,72,B
gene25,sample9,39,B
gene25,sample10,60,B
gene26,sample1,450,A
gene26,sample2,398,A
gene26,sample3,879,A
gene26,sample4,603,A
gene26,sample5,411,A
gene26,sample6,804,B
gene26,sample7,839,B
gene26,sample8,771,B
gene26,sample9,777,B
gene26,sample10,398,B
gene27,sample1,35,A
gene27,sample2,17,A
gene27,sample3,50,A
gene27,sample4,55,A
gene27,sample5,44,A
gene27,sample6,29,B
gene27,sample7,8,B
gene27,sample8,51,B
gene27,sample9,50,B
gene27,sample10,32,B
gene28,sample1,192,A
gene28,sample2,134,A
gene28,sample3,95,A
gene28,sample4,84,A
gene28,sample5,148,A
gene28,sample6,292,B
gene28,sample7,218,B
gene28,sample8,128,B
gene28,sample9,158,B
gene28,sample10,126,B
gene29,sample1,1411,A
gene29,sample2,1967,A
gene29,sample3,2055,A
gene29,sample4,3842,A
gene29,sample5,2030,A
gene29,sample6,2364,B
gene29,sample7,1861,B
gene29,sample8,2734,B
gene29,sample9,2346,B
gene29,sample10,2314,B
gene30,sample1,3,A
gene30,sample2,5,A
gene30,sample3,14,A
gene30,sample4,29,A
gene30,sample5,28,A
gene30,sample6,6,B
gene30,sample7,30,B
gene30,sample8,21,B
gene30,sample9,12,B
gene30,sample10,5,B
gene31,sample1,0,A
gene31,sample2,0,A
gene31,sample3,5,A
gene31,sample4,1,A
gene31,sample5,0,A
gene31,sample6,0,B
gene31,sample7,0,B
gene31,sample8,1,B
gene31,sample9,1,B
gene31,sample10,0,B
gene32,sample1,26,A
gene32,sample2,44,A
gene32,sample3,17,A
gene32,sample4,24,A
gene32,sample5,75,A
gene32,sample6,62,B
gene32,sample7,25,B
gene32,sample8,47,B
gene32,sample9,24,B
gene32,sample10,15,B
gene33,sample1,2,A
gene33,sample2,0,A
gene33,sample3,4,A
gene33,sample4,1,A
gene33,sample5,11,A
gene33,sample6,0,B
gene33,sample7,0,B
gene33,sample8,0,B
gene33,sample9,0,B
gene33,sample10,4,B
gene34,sample1,32,A
gene34,sample2,108,A
gene34,sample3,43,A
gene34,sample4,123,A
gene34,sample5,143,A
gene34,sample6,39,B
gene34,sample7,70,B
gene34,sample8,87,B
gene34,sample9,221,B
gene34,sample10,74,B
gene35,sample1,18,A
gene35,sample2,33,A
gene35,sample3,9,A
gene35,sample4,11,A
gene35,sample5,8,A
gene35,sample6,13,B
gene35,sample7,15,B
gene35,sample8,5,B
gene35,sample9,31,B
gene35,sample10,9,B
gene36,sample1,1,A
gene36,sample2,10,A
gene36,sample3,17,A
gene36,sample4,8,A
gene36,sample5,11,A
gene36,sample6,11,B
gene36,sample7,2,B
gene36,sample8,3,B
gene36,sample9,3,B
gene36,sample10,4,B
gene37,sample1,29,A
gene37,sample2,24,A
gene37,sample3,29,A
gene37,sample4,47,A
gene37,sample5,32,A
gene37,sample6,39,B
gene37,sample7,25,B
gene37,sample8,63,B
gene37,sample9,29,B
gene37,sample10,67,B
gene38,sample1,1,A
gene38,sample2,12,A
gene38,sample3,0,A
gene38,sample4,1,A
gene38,sample5,4,A
gene38,sample6,4,B
gene38,sample7,5,B
gene38,sample8,2,B
gene38,sample9,0,B
gene38,sample10,3,B
gene39,sample1,109,A
gene39,sample2,122,A
gene39,sample3,118,A
gene39,sample4,298,A
gene39,sample5,247,A
gene39,sample6,111,B
gene39,sample7,112,B
gene39,sample8,88,B
gene39,sample9,342,B
gene39,sample10,173,B
gene40,sample1,25,A
gene40,sample2,23,A
gene40,sample3,51,A
gene40,sample4,89,A
gene40,sample5,45,A
gene40,sample6,27,B
gene40,sample7,6,B
gene40,sample8,55,B
gene40,sample9,20,B
gene40,sample10,47,B
gene41,sample1,227,A
gene41,sample2,300,A
gene41,sample3,128,A
gene41,sample4,130,A
gene41,sample5,340,A
gene41,sample6,363,B
gene41,sample7,224,B
gene41,sample8,231,B
gene41,sample9,236,B
gene41,sample10,341,B
gene42,sample1,33,A
gene42,sample2,25,A
gene42,sample3,14,A
gene42,sample4,34,A
gene42,sample5,8,A
gene42,sample6,33,B
gene42,sample7,47,B
gene42,sample8,29,B
gene42,sample9,18,B
gene42,sample10,8,B
gene43,sample1,61,A
gene43,sample2,38,A
gene43,sample3,26,A
gene43,sample4,27,A
gene43,sample5,30,A
gene43,sample6,71,B
gene43,sample7,45,B
gene43,sample8,89,B
gene43,sample9,65,B
gene43,sample10,10,B
gene44,sample1,65,A
gene44,sample2,69,A
gene44,sample3,88,A
gene44,sample4,59,A
gene44,sample5,61,A
gene44,sample6,59,B
gene44,sample7,137,B
gene44,sample8,62,B
gene44,sample9,57,B
gene44,sample10,60,B
gene45,sample1,1249,A
gene45,sample2,844,A
gene45,sample3,899,A
gene45,sample4,835,A
gene45,sample5,845,A
gene45,sample6,766,B
gene45,sample7,526,B
gene45,sample8,1018,B
gene45,sample9,883,B
gene45,sample10,307,B
gene46,sample1,702,A
gene46,sample2,961,A
gene46,sample3,976,A
gene46,sample4,1012,A
gene46,sample5,1778,A
gene46,sample6,1208,B
gene46,sample7,992,B
gene46,sample8,659,B
gene46,sample9,1553,B
gene46,sample10,1037,B
gene47,sample1,1035,A
gene47,sample2,548,A
gene47,sample3,663,A
gene47,sample4,549,A
gene47,sample5,850,A
gene47,sample6,606,B
gene47,sample7,1049,B
gene47,sample8,1532,B
gene47,sample9,720,B
gene47,sample10,1233,B
gene48,sample1,209,A
gene48,sample2,199,A
gene48,sample3,290,A
gene48,sample4,253,A
gene48,sample5,280,A
gene48,sample6,454,B
gene48,sample7,278,B
gene48,sample8,350,B
gene48,sample9,212,B
gene48,sample10,238,B
gene49,sample1,12,A
gene49,sample2,12,A
gene49,sample3,22,A
gene49,sample4,31,A
gene49,sample5,6,A
gene49,sample6,4,B
gene49,sample7,9,B
gene49,sample8,2,B
gene49,sample9,11,B
gene49,sample10,17,B
gene50,sample1,19,A
gene50,sample2,7,A
gene50,sample3,15,A
gene50,sample4,16,A
gene50,sample5,29,A
gene50,sample6,33,B
gene50,sample7,14,B
gene50,sample8,11,B
gene50,sample9,25,B
gene50,sample10,9,B
gene51,sample1,67,A
gene51,sample2,71,A
gene51,sample3,56,A
gene51,sample4,77,A
gene51,sample5,37,A
gene51,sample6,43,B
gene51,sample7,49,B
gene51,sample8,64,B
gene51,sample9,94,B
gene51,sample10,58,B
gene52,sample1,630,A
gene52,sample2,841,A
gene52,sample3,688,A
gene52,sample4,489,A
gene52,sample5,1141,A
gene52,sample6,816,B
gene52,sample7,831,B
gene52,sample8,998,B
gene52,sample9,598,B
gene52,sample10,879,B
gene53,sample1,4,A
gene53,sample2,5,A
gene53,sample3,0,A
gene53,sample4,5,A
gene53,sample5,0,A
gene53,sample6,2,B
gene53,sample7,11,B
gene53,sample8,6,B
gene53,sample9,10,B
gene53,sample10,16,B
gene54,sample1,9921,A
gene54,sample2,10929,A
gene54,sample3,9613,A
gene54,sample4,12507,A
gene54,sample5,10870,A
gene54,sample6,11713,B
gene54,sample7,8312,B
gene54,sample8,12501,B
gene54,sample9,11038,B
gene54,sample10,12103,B
gene55,sample1,38,A
gene55,sample2,63,A
gene55,sample3,13,A
gene55,sample4,27,A
gene55,sample5,33,A
gene55,sample6,69,B
gene55,sample7,85,B
gene55,sample8,36,B
gene55,sample9,59,B
gene55,sample10,85,B
gene56,sample1,362,A
gene56,sample2,433,A
gene56,sample3,690,A
gene56,sample4,384,A
gene56,sample5,900,A
gene56,sample6,271,B
gene56,sample7,562,B
gene56,sample8,701,B
gene56,sample9,449,B
gene56,sample10,420,B
gene57,sample1,149,A
gene57,sample2,129,A
gene57,sample3,104,A
gene57,sample4,210,A
gene57,sample5,138,A
gene57,sample6,209,B
gene57,sample7,141,B
gene57,sample8,137,B
gene57,sample9,207,B
gene57,sample10,118,B
gene58,sample1,95,A
gene58,sample2,89,A
gene58,sample3,97,A
gene58,sample4,83,A
gene58,sample5,65,A
gene58,sample6,68,B
gene58,sample7,78,B
gene58,sample8,79,B
gene58,sample9,65,B
gene58,sample10,84,B
gene59,sample1,0,A
gene59,sample2,0,A
gene59,sample3,1,A
gene59,sample4,0,A
gene59,sample5,3,A
gene59,sample6,2,B
gene59,sample7,0,B
gene59,sample8,0,B
gene59,sample9,0,B
gene59,sample10,0,B
gene60,sample1,43,A
gene60,sample2,22,A
gene60,sample3,29,A
gene60,sample4,43,A
gene60,sample5,18,A
gene60,sample6,18,B
gene60,sample7,26,B
gene60,sample8,26,B
gene60,sample9,49,B
gene60,sample10,49,B
gene61,sample1,16,A
gene61,sample2,41,A
gene61,sample3,37,A
gene61,sample4,23,A
gene61,sample5,33,A
gene61,sample6,23,B
gene61,sample7,34,B
gene61,sample8,60,B
gene61,sample9,23,B
gene61,sample10,31,B
gene62,sample1,0,A
gene62,sample2,0,A
gene62,sample3,0,A
gene62,sample4,0,A
gene62,sample5,0,A
gene62,sample6,0,B
gene62,sample7,0,B
gene62,sample8,2,B
gene62,sample9,0,B
gene62,sample10,0,B
gene63,sample1,1,A
gene63,sample2,0,A
gene63,sample3,1,A
gene63,sample4,0,A
gene63,sample5,0,A
gene63,sample6,0,B
gene63,sample7,2,B
gene63,sample8,0,B
gene63,sample9,2,B
gene63,sample10,2,B
gene64,sample1,27,A
gene64,sample2,15,A
gene64,sample3,40,A
gene64,sample4,22,A
gene64,sample5,56,A
gene64,sample6,43,B
gene64,sample7,14,B
gene64,sample8,46,B
gene64,sample9,32,B
gene64,sample10,22,B
gene65,sample1,1464,A
gene65,sample2,1153,A
gene65,sample3,1860,A
gene65,sample4,2908,A
gene65,sample5,1244,A
gene65,sample6,1181,B
gene65,sample7,1828,B
gene65,sample8,1979,B
gene65,sample9,2185,B
gene65,sample10,1448,B
gene66,sample1,715,A
gene66,sample2,694,A
gene66,sample3,1240,A
gene66,sample4,1199,A
gene66,sample5,734,A
gene66,sample6,626,B
gene66,sample7,1314,B
gene66,sample8,953,B
gene66,sample9,989,B
gene66,sample10,1350,B
gene67,sample1,333,A
gene67,sample2,549,A
gene67,sample3,582,A
gene67,sample4,673,A
gene67,sample5,1145,A
gene67,sample6,210,B
gene67,sample7,456,B
gene67,sample8,397,B
gene67,sample9,612,B
gene67,sample10,355,B
gene68,sample1,90,A
gene68,sample2,69,A
gene68,sample3,141,A
gene68,sample4,186,A
gene68,sample5,142,A
gene68,sample6,98,B
gene68,sample7,243,B
gene68,sample8,160,B
gene68,sample9,192,B
gene68,sample10,100,B
gene69,sample1,968,A
gene69,sample2,1038,A
gene69,sample3,1742,A
gene69,sample4,1363,A
gene69,sample5,1000,A
gene69,sample6,2229,B
gene69,sample7,1054,B
gene69,sample8,1700,B
gene69,sample9,1270,B
gene69,sample10,1256,B
gene70,sample1,168,A
gene70,sample2,300,A
gene70,sample3,205,A
gene70,sample4,325,A
gene70,sample5,227,A
gene70,sample6,223,B
gene70,sample7,283,B
gene70,sample8,258,B
gene70,sample9,457,B
gene70,sample10,192,B
gene71,sample1,20,A
gene71,sample2,42,A
gene71,sample3,65,A
gene71,sample4,90,A
gene71,sample5,46,A
gene71,sample6,37,B
gene71,sample7,66,B
gene71,sample8,60,B
gene71,sample9,51,B
gene71,sample10,77,B
gene72,sample1,145,A
gene72,sample2,89,A
gene72,sample3,103,A
gene72,sample4,63,A
gene72,sample5,83,A
gene72,sample6,83,B
gene72,sample7,58,B
gene72,sample8,133,B
gene72,sample9,174,B
gene72,sample10,143,B
gene73,sample1,161,A
gene73,sample2,217,A
gene73,sample3,171,A
gene73,sample4,229,A
gene73,sample5,304,A
gene73,sample6,341,B
gene73,sample7,412,B
gene73,sample8,352,B
gene73,sample9,131,B
gene73,sample10,234,B
gene74,sample1,168,A
gene74,sample2,223,A
gene74,sample3,163,A
gene74,sample4,126,A
gene74,sample5,96,A
gene74,sample6,148,B
gene74,sample7,92,B
gene74,sample8,143,B
gene74,sample9,114,B
gene74,sample10,189,B
gene75,sample1,75,A
gene75,sample2,26,A
gene75,sample3,28,A
gene75,sample4,83,A
gene75,sample5,52,A
gene75,sample6,11,B
gene75,sample7,57,B
gene75,sample8,140,B
gene75,sample9,49,B
gene75,sample10,75,B
gene76,sample1,5092,A
gene76,sample2,5289,A
gene76,sample3,7824,A
gene76,sample4,3234,A
gene76,sample5,5012,A
gene76,sample6,6709,B
gene76,sample7,6588,B
gene76,sample8,10446,B
gene76,sample9,8936,B
gene76,sample10,5849,B
gene77,sample1,285,A
gene77,sample2,172,A
gene77,sample3,216,A
gene77,sample4,213,A
gene77,sample5,135,A
gene77,sample6,150,B
gene77,sample7,134,B
gene77,sample8,172,B
gene77,sample9,106,B
gene77,sample10,186,B
gene78,sample1,84,A
gene78,sample2,76,A
gene78,sample3,245,A
gene78,sample4,152,A
gene78,sample5,167,A
gene78,sample6,123,B
gene78,sample7,153,B
gene78,sample8,164,B
gene78,sample9,185,B
gene78,sample10,175,B
gene79,sample1,89,A
gene79,sample2,66,A
gene79,sample3,79,A
gene79,sample4,65,A
gene79,sample5,230,A
gene79,sample6,99,B
gene79,sample7,75,B
gene79,sample8,99,B
gene79,sample9,65,B
gene79,sample10,68,B
gene80,sample1,60,A
gene80,sample2,44,A
gene80,sample3,35,A
gene80,sample4,79,A
gene80,sample5,72,A
gene80,sample6,32,B
gene80,sample7,44,B
gene80,sample8,19,B
gene80,sample9,59,B
gene80,sample10,85,B
gene81,sample1,191,A
gene81,sample2,130,A
gene81,sample3,218,A
gene81,sample4,102,A
gene81,sample5,200,A
gene81,sample6,94,B
gene81,sample7,208,B
gene81,sample8,78,B
gene81,sample9,138,B
gene81,sample10,127,B
gene82,sample1,9,A
gene82,sample2,27,A
gene82,sample3,3,A
gene82,sample4,11,A
gene82,sample5,3,A
gene82,sample6,6,B
gene82,sample7,6,B
gene82,sample8,17,B
gene82,sample9,1,B
gene82,sample10,4,B
gene83,sample1,3977,A
gene83,sample2,4276,A
gene83,sample3,4792,A
gene83,sample4,6817,A
gene83,sample5,6614,A
gene83,sample6,4407,B
gene83,sample7,1859,B
gene83,sample8,6457,B
gene83,sample9,7586,B
gene83,sample10,4137,B
gene84,sample1,11,A
gene84,sample2,3,A
gene84,sample3,19,A
gene84,sample4,3,A
gene84,sample5,11,A
gene84,sample6,19,B
gene84,sample7,13,B
gene84,sample8,4,B
gene84,sample9,4,B
gene84,sample10,6,B
gene85,sample1,4407,A
gene85,sample2,2890,A
gene85,sample3,3383,A
gene85,sample4,2975,A
gene85,sample5,3988,A
gene85,sample6,6298,B
gene85,sample7,4520,B
gene85,sample8,3553,B
gene85,sample9,4666,B
gene85,sample10,2851,B
gene86,sample1,8,A
gene86,sample2,0,A
gene86,sample3,16,A
gene86,sample4,3,A
gene86,sample5,5,A
gene86,sample6,6,B
gene86,sample7,3,B
gene86,sample8,1,B
gene86,sample9,0,B
gene86,sample10,7,B
gene87,sample1,55,A
gene87,sample2,95,A
gene87,sample3,133,A
gene87,sample4,95,A
gene87,sample5,63,A
gene87,sample6,184,B
gene87,sample7,47,B
gene87,sample8,117,B
gene87,sample9,65,B
gene87,sample10,57,B
gene88,sample1,463,A
gene88,sample2,424,A
gene88,sample3,445,A
gene88,sample4,360,A
gene88,sample5,228,A
gene88,sample6,305,B
gene88,sample7,318,B
gene88,sample8,230,B
gene88,sample9,406,B
gene88,sample10,424,B
gene89,sample1,296,A
gene89,sample2,337,A
gene89,sample3,308,A
gene89,sample4,315,A
gene89,sample5,202,A
gene89,sample6,141,B
gene89,sample7,167,B
gene89,sample8,193,B
gene89,sample9,192,B
gene89,sample10,80,B
gene90,sample1,178,A
gene90,sample2,228,A
gene90,sample3,252,A
gene90,sample4,249,A
gene90,sample5,274,A
gene90,sample6,228,B
gene90,sample7,191,B
gene90,sample8,158,B
gene90,sample9,283,B
gene90,sample10,254,B
gene91,sample1,906,A
gene91,sample2,1182,A
gene91,sample3,1402,A
gene91,sample4,527,A
gene91,sample5,662,A
gene91,sample6,1163,B
gene91,sample7,1111,B
gene91,sample8,1364,B
gene91,sample9,1051,B
gene91,sample10,1356,B
gene92,sample1,958,A
gene92,sample2,510,A
gene92,sample3,528,A
gene92,sample4,565,A
gene92,sample5,631,A
gene92,sample6,555,B
gene92,sample7,624,B
gene92,sample8,814,B
gene92,sample9,745,B
gene92,sample10,808,B
gene93,sample1,544,A
gene93,sample2,680,A
gene93,sample3,435,A
gene93,sample4,528,A
gene93,sample5,320,A
gene93,sample6,233,B
gene93,sample7,588,B
gene93,sample8,510,B
gene93,sample9,375,B
gene93,sample10,347,B
gene94,sample1,67,A
gene94,sample2,76,A
gene94,sample3,178,A
gene94,sample4,147,A
gene94,sample5,53,A
gene94,sample6,88,B
gene94,sample7,114,B
gene94,sample8,109,B
gene94,sample9,89,B
gene94,sample10,79,B
gene95,sample1,70,A
gene95,sample2,270,A
gene95,sample3,474,A
gene95,sample4,180,A
gene95,sample5,293,A
gene95,sample6,219,B
gene95,sample7,334,B
gene95,sample8,548,B
gene95,sample9,311,B
gene95,sample10,202,B
gene96,sample1,362,A
gene96,sample2,792,A
gene96,sample3,704,A
gene96,sample4,328,A
gene96,sample5,1013,A
gene96,sample6,1416,B
gene96,sample7,821,B
gene96,sample8,701,B
gene96,sample9,967,B
gene96,sample10,490,B
gene97,sample1,648,A
gene97,sample2,451,A
gene97,sample3,360,A
gene97,sample4,829,A
gene97,sample5,775,A
gene97,sample6,701,B
gene97,sample7,1094,B
gene97,sample8,562,B
gene97,sample9,294,B
gene97,sample10,774,B
gene98,sample1,5,A
gene98,sample2,11,A
gene98,sample3,3,A
gene98,sample4,7,A
gene98,sample5,2,A
gene98,sample6,19,B
gene98,sample7,3,B
gene98,sample8,8,B
gene98,sample9,5,B
gene98,sample10,21,B
gene99,sample1,697,A
gene99,sample2,1036,A
gene99,sample3,577,A
gene99,sample4,841,A
gene99,sample5,960,A
gene99,sample6,1263,B
gene99,sample7,809,B
gene99,sample8,685,B
gene99,sample9,1163,B
gene99,sample10,1585,B
gene100,sample1,78,A
gene100,sample2,70,A
gene100,sample3,135,A
gene100,sample4,130,A
gene100,sample5,108,A
gene100,sample6,110,B
gene100,sample7,112,B
gene100,sample8,74,B
gene100,sample9,106,B
gene100,sample10,148,B
gene101,sample1,22,A
gene101,sample2,31,A
gene101,sample3,15,A
gene101,sample4,33,A
gene101,sample5,7,A
gene101,sample6,4,B
gene101,sample7,15,B
gene101,sample8,10,B
gene101,sample9,11,B
gene101,sample10,16,B
gene102,sample1,121,A
gene102,sample2,111,A
gene102,sample3,95,A
gene102,sample4,91,A
gene102,sample5,185,A
gene102,sample6,172,B
gene102,sample7,58,B
gene102,sample8,140,B
gene102,sample9,82,B
gene102,sample10,123,B
gene103,sample1,1318,A
gene103,sample2,3706,A
gene103,sample3,2512,A
gene103,sample4,2003,A
gene103,sample5,3553,A
gene103,sample6,4658,B
gene103,sample7,2160,B
gene103,sample8,1734,B
gene103,sample9,3058,B
gene103,sample10,2365,B
gene104,sample1,586,A
gene104,sample2,508,A
gene104,sample3,634,A
gene104,sample4,403,A
gene104,sample5,674,A
gene104,sample6,479,B
gene104,sample7,450,B
gene104,sample8,564,B
gene104,sample9,518,B
gene104,sample10,313,B
gene105,sample1,54,A
gene105,sample2,86,A
gene105,sample3,24,A
gene105,sample4,57,A
gene105,sample5,89,A
gene105,sample6,117,B
gene105,sample7,56,B
gene105,sample8,56,B
gene105,sample9,105,B
gene105,sample10,75,B
gene106,sample1,4,A
gene106,sample2,6,A
gene106,sample3,0,A
gene106,sample4,1,A
gene106,sample5,0,A
gene106,sample6,13,B
gene106,sample7,0,B
gene106,sample8,5,B
gene106,sample9,8,B
gene106,sample10,15,B
gene107,sample1,109,A
gene107,sample2,48,A
gene107,sample3,237,A
gene107,sample4,133,A
gene107,sample5,57,A
gene107,sample6,63,B
gene107,sample7,93,B
gene107,sample8,98,B
gene107,sample9,180,B
gene107,sample10,73,B
gene108,sample1,42,A
gene108,sample2,19,A
gene108,sample3,24,A
gene108,sample4,59,A
gene108,sample5,57,A
gene108,sample6,59,B
gene108,sample7,26,B
gene108,sample8,29,B
gene108,sample9,84,B
gene108,sample10,33,B
gene109,sample1,52,A
gene109,sample2,29,A
gene109,sample3,33,A
gene109,sample4,20,A
gene109,sample5,46,A
gene109,sample6,18,B
gene109,sample7,59,B
gene109,sample8,29,B
gene109,sample9,45,B
gene109,sample10,34,B
gene110,sample1,12,A
gene110,sample2,5,A
gene110,sample3,3,A
gene110,sample4,7,A
gene110,sample5,0,A
gene110,sample6,7,B
gene110,sample7,1,B
gene110,sample8,3,B
gene110,sample9,21,B
gene110,sample10,21,B
gene111,sample1,315,A
gene111,sample2,220,A
gene111,sample3,246,A
gene111,sample4,348,A
gene111,sample5,65,A
gene111,sample6,153,B
gene111,sample7,135,B
gene111,sample8,268,B
gene111,sample9,199,B
gene111,sample10,156,B
gene112,sample1,78,A
gene112,sample2,73,A
gene112,sample3,82,A
gene112,sample4,135,A
gene112,sample5,102,A
gene112,sample6,153,B
gene112,sample7,93,B
gene112,sample8,62,B
gene112,sample9,68,B
gene112,sample10,108,B
gene113,sample1,64,A
gene113,sample2,44,A
gene113,sample3,133,A
gene113,sample4,125,A
gene113,sample5,93,A
gene113,sample6,85,B
gene113,sample7,104,B
gene113,sample8,74,B
gene113,sample9,90,B
gene113,sample10,56,B
gene114,sample1,92,A
gene114,sample2,116,A
gene114,sample3,150,A
gene114,sample4,137,A
gene114,sample5,131,A
gene114,sample6,171,B
gene114,sample7,34,B
gene114,sample8,172,B
gene114,sample9,58,B
gene114,sample10,198,B
gene115,sample1,2876,A
gene115,sample2,3747,A
gene115,sample3,5021,A
gene115,sample4,10806,A
gene115,sample5,6580,A
gene115,sample6,3333,B
gene115,sample7,4593,B
gene115,sample8,4713,B
gene115,sample9,7772,B
gene115,sample10,3253,B
gene116,sample1,287,A
gene116,sample2,230,A
